Query_Type,Client_Query_Receive_Prep_s,Upstream_Connection_Establishment_s,Upstream_Query_Transmission_Setup_s,Wait_for_Upstream_Encrypted_Response_s,Client_Response_Transmit_Setup_s,TOTAL_Time_s
ENCRYPTED_QUERY,0.000108,0.014056,0.000062,0.106153,0.000252,0.504740
ENCRYPTED_QUERY,0.000163,0.010206,0.000053,0.124144,0.000273,0.577987
ENCRYPTED_QUERY,0.000155,0.012833,0.000059,0.291045,0.000259,1.322192
ENCRYPTED_QUERY,0.000202,0.014209,0.000077,0.141039,0.000328,0.669293
ENCRYPTED_QUERY,0.000114,0.013821,0.000057,0.049121,0.000218,0.263295
ENCRYPTED_QUERY,0.000187,0.013895,0.000068,0.117236,0.000267,0.566899
ENCRYPTED_QUERY,0.000167,0.012907,0.000066,0.049012,0.000375,0.263690
ENCRYPTED_QUERY,0.000089,0.013431,0.000055,0.121419,0.000256,0.579527
ENCRYPTED_QUERY,0.000089,0.012796,0.000056,0.047676,0.000226,0.257752
ENCRYPTED_QUERY,0.000155,0.012215,0.000060,0.060186,0.000238,0.310880
ENCRYPTED_QUERY,0.000203,0.012965,0.000053,0.045404,0.000290,0.245853
ENCRYPTED_QUERY,0.000091,0.012871,0.000056,0.059826,0.000244,0.313035
ENCRYPTED_QUERY,0.000086,0.012182,0.000056,0.059513,0.000238,0.307019
ENCRYPTED_QUERY,0.000147,0.012854,0.000055,0.045287,0.000270,0.248519
ENCRYPTED_QUERY,0.000087,0.012557,0.000059,0.058606,0.000217,0.304392
ENCRYPTED_QUERY,0.000086,0.013227,0.000057,0.051861,0.000209,0.278286
ENCRYPTED_QUERY,0.000088,0.012709,0.000061,0.052161,0.000279,0.276192
ENCRYPTED_QUERY,0.000150,0.012491,0.000060,0.054725,0.000245,0.287535
ENCRYPTED_QUERY,0.000151,0.012187,0.000053,0.058558,0.000236,0.302114
ENCRYPTED_QUERY,0.000145,0.012421,0.000058,0.045730,0.000188,0.247288
ENCRYPTED_QUERY,0.000163,0.014171,0.000056,0.045846,0.000208,0.252184
ENCRYPTED_QUERY,0.000147,0.012175,0.000053,0.053234,0.000188,0.278562
ENCRYPTED_QUERY,0.000147,0.014512,0.000055,0.046568,0.000220,0.264361
ENCRYPTED_QUERY,0.000091,0.011810,0.000053,0.045894,0.000198,0.243822
ENCRYPTED_QUERY,0.000152,0.012167,0.000053,0.056243,0.000242,0.292813
ENCRYPTED_QUERY,0.000085,0.011456,0.000055,0.060927,0.000192,0.306530
ENCRYPTED_QUERY,0.000085,0.012436,0.000068,0.053918,0.000165,0.282369
ENCRYPTED_QUERY,0.000088,0.012706,0.000051,0.053316,0.000203,0.283208
ENCRYPTED_QUERY,0.000087,0.012315,0.000053,0.061741,0.000242,0.317402
ENCRYPTED_QUERY,0.000086,0.013138,0.000058,0.052291,0.000251,0.279733
ENCRYPTED_QUERY,0.000144,0.012067,0.000054,0.050040,0.000237,0.263473
ENCRYPTED_QUERY,0.000100,0.011934,0.000054,0.050230,0.000224,0.263370
ENCRYPTED_QUERY,0.000102,0.014003,0.000057,0.050528,0.000224,0.277753
ENCRYPTED_QUERY,0.000146,0.008086,0.000052,0.050777,0.000235,0.241203
ENCRYPTED_QUERY,0.000088,0.012634,0.000056,0.068873,0.000209,0.348743
ENCRYPTED_QUERY,0.000149,0.011930,0.000055,0.050069,0.000193,0.263148
ENCRYPTED_QUERY,0.000088,0.011857,0.000053,0.045174,0.000163,0.240991
ENCRYPTED_QUERY,0.000090,0.012805,0.000069,0.044806,0.000175,0.245649
ENCRYPTED_QUERY,0.000141,0.012029,0.000055,0.048497,0.000271,0.256889
ENCRYPTED_QUERY,0.000089,0.012755,0.000054,0.046081,0.000222,0.249992
ENCRYPTED_QUERY,0.000144,0.011973,0.000054,0.054535,0.000212,0.283795
ENCRYPTED_QUERY,0.000090,0.012058,0.000055,0.059400,0.000242,0.304751
ENCRYPTED_QUERY,0.000087,0.014817,0.000054,0.050260,0.000241,0.281390
ENCRYPTED_QUERY,0.000087,0.012223,0.000054,0.048760,0.000267,0.258300
ENCRYPTED_QUERY,0.000145,0.012754,0.000054,0.074757,0.000257,0.378013
ENCRYPTED_QUERY,0.000148,0.012152,0.000057,0.055259,0.000201,0.286617
ENCRYPTED_QUERY,0.000145,0.012582,0.000051,0.061324,0.000237,0.317268
ENCRYPTED_QUERY,0.000091,0.012298,0.000056,0.055376,0.000197,0.288752
ENCRYPTED_QUERY,0.000096,0.013791,0.000055,0.050636,0.000206,0.272596
ENCRYPTED_QUERY,0.000165,0.011959,0.000055,0.061474,0.000224,0.314768
ENCRYPTED_QUERY,0.000134,0.011751,0.000060,0.048551,0.000234,0.255522
ENCRYPTED_QUERY,0.000143,0.014095,0.000052,0.056471,0.000204,0.304809
ENCRYPTED_QUERY,0.000087,0.012414,0.000054,0.060678,0.000214,0.313314
ENCRYPTED_QUERY,0.000087,0.012762,0.000053,0.061873,0.000298,0.321089
ENCRYPTED_QUERY,0.000086,0.011849,0.000055,0.052606,0.000188,0.267545
ENCRYPTED_QUERY,0.000090,0.007907,0.000057,0.044842,0.000175,0.213840
ENCRYPTED_QUERY,0.000087,0.008259,0.000056,0.042329,0.000188,0.204632
ENCRYPTED_QUERY,0.000151,0.007879,0.000053,0.049397,0.000219,0.233456
ENCRYPTED_QUERY,0.000151,0.012703,0.000056,0.060745,0.000298,0.314936
ENCRYPTED_QUERY,0.000150,0.012502,0.000072,0.045368,0.000212,0.245132
ENCRYPTED_QUERY,0.000145,0.012210,0.000055,0.059685,0.000207,0.306156
ENCRYPTED_QUERY,0.000103,0.014103,0.000056,0.049947,0.000210,0.269150
ENCRYPTED_QUERY,0.000163,0.013674,0.000073,0.045503,0.000277,0.247723
ENCRYPTED_QUERY,0.000097,0.015771,0.000056,0.052619,0.000267,0.293916
ENCRYPTED_QUERY,0.000161,0.016881,0.000052,0.046501,0.000221,0.279674
ENCRYPTED_QUERY,0.000141,0.012472,0.000067,0.057663,0.000251,0.301554
ENCRYPTED_QUERY,0.000149,0.012079,0.000054,0.062374,0.000239,0.317742
ENCRYPTED_QUERY,0.000147,0.007867,0.000055,0.041596,0.000242,0.199758
ENCRYPTED_QUERY,0.000100,0.008425,0.000054,0.066324,0.000218,0.309988
ENCRYPTED_QUERY,0.000090,0.007940,0.000058,0.057910,0.000206,0.271006
ENCRYPTED_QUERY,0.000154,0.007846,0.000066,0.043032,0.000194,0.206018
ENCRYPTED_QUERY,0.000146,0.007496,0.000052,0.049922,0.000200,0.234589
ENCRYPTED_QUERY,0.000142,0.007729,0.000054,0.042743,0.000263,0.204786
ENCRYPTED_QUERY,0.000088,0.008278,0.000057,0.067545,0.000226,0.316103
ENCRYPTED_QUERY,0.000090,0.007807,0.000053,0.109979,0.000234,0.498240
ENCRYPTED_QUERY,0.000145,0.013681,0.000055,0.052128,0.000239,0.277181
ENCRYPTED_QUERY,0.000087,0.012407,0.000057,0.043837,0.000268,0.238504
ENCRYPTED_QUERY,0.000159,0.007832,0.000068,0.056521,0.000233,0.264698
ENCRYPTED_QUERY,0.000147,0.007701,0.000052,0.042817,0.000173,0.204593
ENCRYPTED_QUERY,0.000144,0.007850,0.000054,0.055324,0.000223,0.260458
ENCRYPTED_QUERY,0.000149,0.009229,0.000069,0.045136,0.000162,0.222407
ENCRYPTED_QUERY,0.000144,0.007956,0.000054,0.041109,0.000159,0.198074
ENCRYPTED_QUERY,0.000158,0.008225,0.000058,0.048806,0.000190,0.233139
ENCRYPTED_QUERY,0.000091,0.008261,0.000056,0.045938,0.000201,0.219341
ENCRYPTED_QUERY,0.000137,0.007886,0.000057,0.045307,0.000195,0.216342
ENCRYPTED_QUERY,0.000152,0.008419,0.000053,0.044263,0.000201,0.213849
ENCRYPTED_QUERY,0.000141,0.007882,0.000054,0.057261,0.000262,0.268536
ENCRYPTED_QUERY,0.000155,0.008366,0.000053,0.056563,0.000271,0.268290
ENCRYPTED_QUERY,0.000143,0.009284,0.000054,0.046347,0.000165,0.221648
ENCRYPTED_QUERY,0.000087,0.007707,0.000066,0.041130,0.000213,0.196942
ENCRYPTED_QUERY,0.000087,0.007866,0.000054,0.049435,0.000221,0.234488
ENCRYPTED_QUERY,0.000146,0.007870,0.000053,0.042391,0.000204,0.203360
ENCRYPTED_QUERY,0.000142,0.008312,0.000057,0.042622,0.000180,0.206020
ENCRYPTED_QUERY,0.000153,0.007859,0.000055,0.048791,0.000192,0.230834
ENCRYPTED_QUERY,0.000148,0.008283,0.000057,0.058840,0.000205,0.277324
ENCRYPTED_QUERY,0.000140,0.013417,0.000074,0.060131,0.000226,0.315936
ENCRYPTED_QUERY,0.000163,0.012949,0.000056,0.048971,0.000205,0.265118
ENCRYPTED_QUERY,0.000144,0.012746,0.000056,0.046108,0.000174,0.249971
ENCRYPTED_QUERY,0.000142,0.012226,0.000060,0.053763,0.000193,0.281229
ENCRYPTED_QUERY,0.000159,0.012784,0.000056,0.048629,0.000238,0.262761
ENCRYPTED_QUERY,0.000148,0.012503,0.000063,0.052194,0.000213,0.276030
ENCRYPTED_QUERY,0.000148,0.007714,0.000057,0.041937,0.000299,0.201041
ENCRYPTED_QUERY,0.000087,0.008027,0.000055,0.056090,0.000161,0.263155
ENCRYPTED_QUERY,0.000092,0.007790,0.000053,0.049382,0.000187,0.233261
ENCRYPTED_QUERY,0.000084,0.008412,0.000059,0.045557,0.000192,0.219063
ENCRYPTED_QUERY,0.000141,0.008000,0.000057,0.056104,0.000221,0.263391
ENCRYPTED_QUERY,0.000143,0.007869,0.000064,0.055955,0.000239,0.262224
ENCRYPTED_QUERY,0.000160,0.007655,0.000054,0.055466,0.000262,0.259560
ENCRYPTED_QUERY,0.000144,0.007819,0.000057,0.056301,0.000211,0.264329
ENCRYPTED_QUERY,0.000103,0.015911,0.000067,0.393814,0.000264,1.772376
ENCRYPTED_QUERY,0.000102,0.010131,0.000060,0.051510,0.000216,0.257879
ENCRYPTED_QUERY,0.000172,0.012908,0.000057,0.063579,0.000237,0.327854
ENCRYPTED_QUERY,0.000092,0.012616,0.000058,0.058226,0.000226,0.295150
ENCRYPTED_QUERY,0.000162,0.008637,0.000055,0.057006,0.000250,0.270077
ENCRYPTED_QUERY,0.000176,0.008200,0.000067,0.474826,0.000262,2.095974
ENCRYPTED_QUERY,0.000094,0.008390,0.000075,0.071253,0.000260,0.330100
ENCRYPTED_QUERY,0.000172,0.013101,0.000056,0.043565,0.000197,0.234895
ENCRYPTED_QUERY,0.000094,0.012846,0.000057,0.100217,0.000257,0.486573
ENCRYPTED_QUERY,0.000091,0.012611,0.000067,0.090115,0.000254,0.443234
ENCRYPTED_QUERY,0.000149,0.012180,0.000061,0.138963,0.000259,0.653966
ENCRYPTED_QUERY,0.000151,0.010665,0.000058,0.041364,0.000234,0.219346
ENCRYPTED_QUERY,0.000094,0.012254,0.000056,0.042814,0.000257,0.233373
ENCRYPTED_QUERY,0.000117,0.013118,0.000083,0.043622,0.000225,0.240008
ENCRYPTED_QUERY,0.000149,0.012127,0.000055,0.045751,0.000239,0.246264
ENCRYPTED_QUERY,0.000351,0.009040,0.000089,0.039060,0.000226,0.190537
ENCRYPTED_QUERY,0.000160,0.008247,0.000061,0.041023,0.000228,0.198527
ENCRYPTED_QUERY,0.000159,0.008355,0.000062,0.036760,0.000283,0.179480
ENCRYPTED_QUERY,0.000148,0.008127,0.000055,0.055387,0.000228,0.260725
ENCRYPTED_QUERY,0.000150,0.008008,0.000071,0.041227,0.000187,0.198448
ENCRYPTED_QUERY,0.000170,0.014311,0.000056,0.044669,0.000190,0.246202
ENCRYPTED_QUERY,0.000160,0.011977,0.000055,0.055554,0.000221,0.288855
ENCRYPTED_QUERY,0.000087,0.014767,0.000055,0.077308,0.000224,0.400404
ENCRYPTED_QUERY,0.000160,0.012095,0.000055,0.078461,0.000204,0.389903
ENCRYPTED_QUERY,0.000145,0.012174,0.000059,0.046391,0.000179,0.248703
ENCRYPTED_QUERY,0.000177,12.628981,0.000076,0.080267,0.000054,13.007563
